Identifiant station,Nom de la Station,Nom de la ligne,Niveau de pollution aux particules,Niveau de pollution,Incertitude,Recommandation de surveillance,Action(s) QAI en cours,Lien vers les mesures en direct,Durée des mesures,stop_lon,stop_lat,point_geo,pollution_air,niveau,actions,niveau_pollution
IDFM:490851,Chevilly-Larue (Marché International),Métro 14,pas de données,pas de données,Évaluation : impossible faute d’informations,non,,,,2.367374604185919,48.75848356146962,"48.75848356146962, 2.367374604185919",pas de données,Pas de données,,pas de données
IDFM:462963,République,Métro 9,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,,,2.3633023407804536,48.86751235781114,"48.86751235781114, 2.3633023407804536",pollution moyenne - incertitude forte,Pollution moyenne,Action(s) d'amélioration de la qualité de l'air en cours,pollution moyenne
IDFM:22082,Franklin D. Roosevelt,Métro 1,pollution faible,FAIBLE,Évaluation : mesures permanentes,non,,https://air-interieur.ratp.fr/,mesures permanentes,2.309359666519628,48.8691648256349,"48.8691648256349, 2.309359666519628",pollution faible - incertitude faible,Pollution faible,,pollution faible
IDFM:22152,Château Rouge,Métro 4,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,,,2.3495819680256598,48.88724193064896,"48.887241930648955, 2.3495819680256593",pollution faible - incertitude forte,Pollution faible,,pollution faible
IDFM:462985,Pont de Levallois - Bécon,Métro 3,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,,,2.28030375318625,48.89722831603318,"48.89722831603318, 2.28030375318625",pollution faible - incertitude forte,Pollution faible,Action(s) d'amélioration de la qualité de l'air en cours,pollution faible
IDFM:24687,Danube,Métro 7B,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,,,2.393228471227492,48.88194921492064,"48.88194921492064, 2.393228471227492",pollution moyenne - incertitude forte,Pollution moyenne,,pollution moyenne
IDFM:22238,Mairie de Clichy,Métro 13,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,,,2.3058484063578857,48.90349897462669,"48.90349897462669, 2.3058484063578857",pollution moyenne - incertitude forte,Pollution moyenne,,pollution moyenne
IDFM:463026,Place d'Italie,Métro 7,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,,,2.355330902236442,48.83154938471729,"48.83154938471729, 2.355330902236442",pollution moyenne - incertitude forte,Pollution moyenne,,pollution moyenne
IDFM:21985,Chardon Lagache,Métro 10,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,,,2.26690547594029,48.84508829917885,"48.84508829917885, 2.26690547594029",pollution faible - incertitude forte,Pollution faible,,pollution faible
IDFM:462968,Rennes,Métro 12,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,,,2.32802068556793,48.84819024311401,"48.84819024311401, 2.32802068556793",pollution moyenne - incertitude forte,Pollution moyenne,,pollution moyenne
